City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
221,Hihifo,not found,56.67,124.65,0.0,0,0,0.0,no weather description,0.0,0
222,Tasiilaq,GL,65.61,-37.64,42.8,81,45,2.24,scattered clouds,0.0,0
223,Umzimvubu,not found,65.61,-37.64,0.0,0,0,0.0,no weather description,0.0,0
224,Babushkin,RU,51.71,105.86,60.24,89,100,6.76,light rain,0.83,0
225,Belushya Guba,not found,51.71,105.86,0.0,0,0,0.0,no weather description,0.0,0
226,Torbay,CA,47.67,-52.73,52.0,93,90,13.87,overcast clouds,0.0,0
227,Acapulco,MX,16.86,-99.89,86.0,74,40,5.82,scattered clouds,0.0,0
228,College,US,64.86,-147.8,71.6,43,75,4.7,light rain,0.25,0
229,Bethanien,NA,-26.5,17.16,38.82,71,0,13.18,clear sky,0.0,0
230,Sigerfjord,not found,-26.5,17.16,0.0,0,0,0.0,no weather description,0.0,0
231,Fort Nelson,CA,58.81,-122.7,75.2,29,75,4.7,broken clouds,0.0,0
232,Rio Gallegos,AR,-51.62,-69.22,30.2,92,40,3.36,scattered clouds,0.0,0
233,Komsomolskiy,UZ,40.43,71.72,77.0,41,0,4.7,clear sky,0.0,0
234,Padang,ID,-0.95,100.35,84.07,59,21,1.23,few clouds,0.0,0
235,Tiksi,RU,71.69,128.87,43.25,72,0,9.33,clear sky,0.0,0
236,Bethel,US,41.37,-73.41,69.8,83,20,3.36,thunderstorm,0.0,0
237,Ondorhaan,not found,41.37,-73.41,0.0,0,0,0.0,no weather description,0.0,0
238,Ibanda,TZ,-2.8,32.47,68.0,77,20,6.93,few clouds,0.0,0
239,Kahului,US,20.89,-156.47,89.6,46,40,23.04,scattered clouds,0.0,0
240,Huarmey,PE,-10.07,-78.15,62.26,86,71,7.78,broken clouds,0.0,0
241,Karratha,AU,-20.74,116.85,77.77,35,97,11.97,overcast clouds,0.0,0
242,Erzin,TR,36.96,36.2,77.0,90,0,3.0,clear sky,0.0,0
243,Saleaula,not found,36.96,36.2,0.0,0,0,0.0,no weather description,0.0,0
244,Zhaotong,CN,27.32,103.72,69.84,77,100,4.45,overcast clouds,0.0,0
245,Remerschen,LU,49.49,6.35,59.0,93,100,3.36,light rain,0.89,0
246,Olafsvik,IS,64.89,-23.71,51.44,87,100,3.91,overcast clouds,0.0,0
247,Nanortalik,GL,60.14,-45.24,41.04,95,100,1.7,light rain,0.12,0
248,Saldanha,ZA,-33.01,17.94,41.0,86,0,1.12,clear sky,0.0,0
249,Port Macquarie,AU,-31.43,152.92,62.01,59,40,20.8,scattered clouds,0.0,0
250,Jizan,SA,17.33,42.67,93.2,46,0,3.76,clear sky,0.0,0
251,Chapais,CA,49.78,-74.85,69.8,52,1,6.93,clear sky,0.0,0
252,Sechura,PE,-5.56,-80.82,65.1,81,85,12.44,overcast clouds,0.0,0
253,Monte Cristi,not found,-5.56,-80.82,0.0,0,0,0.0,no weather description,0.0,0
254,San Luis,AR,-33.3,-66.34,45.1,58,0,3.8,clear sky,0.0,0
255,Avera,US,33.19,-82.53,82.99,74,1,2.26,clear sky,0.0,0
256,Khormuj,not found,33.19,-82.53,0.0,0,0,0.0,no weather description,0.0,0
257,Bassar,TG,9.25,0.78,73.4,100,20,6.93,few clouds,0.0,0
258,Praia,CV,14.92,-23.51,78.8,83,40,11.41,scattered clouds,0.0,0
259,Kushima,JP,31.46,131.23,75.2,78,75,13.87,broken clouds,0.0,0
260,Srednekolymsk,RU,67.45,153.68,51.94,48,44,14.03,scattered clouds,0.0,0
261,Barra Do Garcas,BR,-15.89,-52.26,71.71,48,0,1.77,clear sky,0.0,0
262,Port Hardy,CA,50.7,-127.42,62.6,72,75,8.05,broken clouds,0.0,0
263,Jonkoping,SE,57.78,14.16,55.4,100,99,4.7,overcast clouds,0.0,0
264,Liuli,TZ,-11.08,34.63,69.67,55,71,5.17,broken clouds,0.0,0
265,Socastee,US,33.68,-79.0,82.99,83,1,5.82,clear sky,0.0,0
266,Arteaga,MX,18.47,-102.42,68.97,98,10,2.86,light rain,0.99,0
267,Sundsvall,SE,62.39,17.31,57.99,100,100,2.24,overcast clouds,0.0,0
268,Arraial Do Cabo,BR,-22.97,-42.03,71.6,78,75,8.05,broken clouds,0.0,0
269,Hualmay,PE,-11.1,-77.61,61.12,85,48,7.92,scattered clouds,0.0,0
270,Tacoronte,ES,28.48,-16.41,68.0,93,90,16.11,overcast clouds,0.0,0
271,Kasempa,ZM,-13.46,25.83,47.43,51,0,5.1,clear sky,0.0,0
272,Ternate,ID,0.8,127.4,79.84,75,100,5.53,light rain,0.13,0
273,Saint-Georges,GD,12.06,-61.75,82.4,78,20,5.82,few clouds,0.0,0
274,Fort-Shevchenko,KZ,44.51,50.26,84.13,64,100,20.22,overcast clouds,0.0,0
275,Buchanan,LR,5.88,-10.05,74.53,80,100,7.67,overcast clouds,0.0,0
276,Puerto Ayora,EC,-0.74,-90.35,66.99,96,85,1.01,overcast clouds,0.0,0
277,Mazagao,BR,-0.12,-51.29,84.2,79,0,4.7,clear sky,0.0,0
278,Marsh Harbour,BS,26.54,-77.06,84.38,75,91,5.88,overcast clouds,0.0,0
279,Raudeberg,NO,61.99,5.14,53.6,93,0,6.93,clear sky,0.0,0
280,Cherskiy,RU,68.75,161.3,48.16,58,0,18.9,clear sky,0.0,0
281,Miri,MY,4.41,114.01,80.6,88,40,9.17,scattered clouds,0.0,0
282,Coquimbo,CL,-29.95,-71.34,51.8,93,90,3.36,overcast clouds,0.0,0
283,Calderitas,MX,18.55,-88.25,80.94,83,11,11.14,light rain,0.2,0
284,Great Falls,US,47.5,-111.3,77.0,15,1,10.29,clear sky,0.0,0
285,Igrim,RU,63.19,64.42,67.26,89,62,6.22,broken clouds,0.0,0
286,Darhan,MN,49.49,105.92,76.06,60,0,10.16,clear sky,0.0,0
287,Lolua,not found,49.49,105.92,0.0,0,0,0.0,no weather description,0.0,0
288,Weligama,LK,5.97,80.42,81.36,85,68,9.31,light rain,0.49,0
289,San Patricio,MX,19.22,-104.7,86.0,74,75,17.22,broken clouds,0.0,0
290,Barao De Melgaco,BR,-16.19,-55.97,80.6,51,1,3.36,clear sky,0.0,0
291,Nynashamn,SE,58.9,17.95,62.01,53,100,10.49,overcast clouds,0.0,0
292,Yatsushiro,JP,32.5,130.6,73.4,88,75,8.05,broken clouds,0.0,0
293,Sheltozero,RU,61.37,35.37,57.04,68,73,10.25,broken clouds,0.0,0
294,Muzquiz,not found,61.37,35.37,0.0,0,0,0.0,no weather description,0.0,0
295,Korla,CN,41.76,86.15,83.88,19,32,9.17,scattered clouds,0.0,0
296,Sitka,US,57.05,-135.33,55.4,87,75,16.11,mist,0.0,0
297,Harpalpur,IN,25.29,79.33,89.08,59,29,4.88,scattered clouds,0.0,0
298,Kalmunai,LK,7.42,81.82,82.62,74,97,13.96,overcast clouds,0.0,0
299,Ray,IN,23.68,85.05,75.2,100,75,5.26,haze,0.0,0
300,Rovaniemi,FI,66.5,25.72,50.0,93,2,3.36,clear sky,0.0,0
301,Lensk,RU,60.73,114.93,84.85,41,2,3.98,clear sky,0.0,0
302,Inuvik,CA,68.35,-133.72,66.2,59,75,9.17,shower rain,0.0,0
303,Panlaitan,PH,12.12,119.85,84.7,69,0,2.71,clear sky,0.0,0
304,Merauke,ID,-8.47,140.33,80.19,80,82,15.57,light rain,0.18,0
305,Ketchenery,not found,-8.47,140.33,0.0,0,0,0.0,no weather description,0.0,0
306,Yumen,CN,40.28,97.2,76.98,20,75,13.6,broken clouds,0.0,0
307,Komagane,JP,35.73,137.94,69.01,90,100,5.99,overcast clouds,0.0,0
308,Norheimsund,NO,60.37,6.15,55.0,96,78,0.27,broken clouds,0.0,0
309,Wyndham,US,37.7,-77.61,82.99,69,1,4.7,clear sky,0.0,0
310,Rexburg,US,43.83,-111.79,75.2,25,1,9.17,clear sky,0.0,0
311,Qaqortoq,GL,60.72,-46.03,48.2,81,100,4.7,overcast clouds,0.0,0
