City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Milkovo,RU,75.2,broken clouds,54.72,158.62,"Hotel ""Geologist"""
352,Russell,US,91.4,scattered clouds,32.35,-85.2,Macs
356,Savalou,BJ,70.47,overcast clouds,7.93,1.98,Hotel F&F
357,Buraydah,SA,91.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
361,Fairbanks,US,71.6,scattered clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
366,Wuwei,CN,80.01,broken clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
369,Grand Gaube,MU,71.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
370,Tigzirt,DZ,72.34,few clouds,36.89,4.12,Appartement de la plage
374,Jacareacanga,BR,74.53,clear sky,-6.22,-57.75,Casa do Ian😎
385,Ajdabiya,LY,72.77,clear sky,30.76,20.23,فندق التوجان
386,Arona,ES,73.0,clear sky,28.1,-16.68,Paradise Court
391,Palia Kalan,IN,86.14,clear sky,28.45,80.58,Hotel Sleep Inn
394,Tateyama,JP,73.99,broken clouds,34.98,139.87,Tateyama Seaside Hotel
397,Xuddur,SO,72.64,overcast clouds,4.12,43.89,Banjanay Hotel
398,Bouna,CI,71.31,overcast clouds,9.27,-3.0,Hotel Reserve
399,Khartoum,SD,89.6,clear sky,15.55,32.53,Hotel China
402,San Policarpo,PH,85.93,few clouds,12.18,125.51,Zal-Ann Beach Resort
403,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
407,Tomatlan,MX,81.36,clear sky,19.93,-105.25,Norma franco
415,Gushikawa,JP,87.8,clear sky,26.35,127.87,Kirari Guest House
417,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
418,Chitral,PK,76.03,clear sky,35.85,71.79,PTDC Motel Chitral
423,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
424,Lorengau,PG,85.26,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
426,Madiun,ID,83.8,clear sky,-7.63,111.52,Aston Madiun Hotel & Conference Center
428,Port Moresby,PG,84.2,haze,-9.44,147.18,Lamana Hotel
435,Alyangula,AU,77.0,clear sky,-13.85,136.42,Groote Eylandt Lodge
437,Dingle,PH,86.76,few clouds,11.0,122.67,Camp Pasica
438,Khor,RU,75.54,broken clouds,47.89,134.95,Gostinitsa Deksi
441,Hami,CN,85.35,clear sky,42.8,93.45,Laoyutang Resort
442,Gat,IL,73.99,few clouds,31.61,34.76,רגע בנחת
447,Hannibal,US,84.2,clear sky,39.71,-91.36,Country Hearth Inn Hannibal
455,Zalantun,CN,91.87,overcast clouds,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
456,Avanigadda,IN,78.8,thunderstorm with rain,16.02,80.92,Sri Subramanyeswara Nilayam
460,Sooke,CA,73.99,broken clouds,48.37,-123.73,Sooke Harbour House Hotel & Resort
465,Cairns,AU,75.2,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
468,Hanyang,CN,79.0,broken clouds,32.14,105.51,Forestry Hostel
469,Yebaishou,CN,85.48,clear sky,41.4,119.64,Siji Home
470,Bengkulu,ID,80.85,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
471,Ferkessedougou,CI,72.43,overcast clouds,9.6,-5.2,Hotel Chateau
474,Khorramshahr,IR,87.8,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
475,Glenwood Springs,US,91.4,clear sky,39.55,-107.32,Glenwood Springs Cedar Lodge
476,Greenville,US,84.2,scattered clouds,35.61,-77.37,Holiday Inn Express Greenville
479,Quatre Cocos,MU,71.6,light intensity shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
485,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
487,Caravelas,BR,70.68,clear sky,-17.71,-39.25,Pousada dos Navegantes
488,El Pueblito,MX,78.8,broken clouds,20.53,-100.45,Capital O Villa Bonita
489,San Bartolome De Tirajana,ES,72.0,few clouds,27.92,-15.57,Hotel Viverde Las Tirajanas
494,Fukue,JP,71.6,light intensity shower rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
496,Agua Branca,BR,79.02,broken clouds,-5.89,-42.64,Pousada São Lucas
498,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
500,Sibu,MY,78.8,few clouds,2.3,111.82,RH HOTEL (4 Star)
501,Souillac,MU,71.6,light intensity shower rain,-20.52,57.52,Bils' Villa
506,Katsuura,JP,73.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
509,Manadhoo,MV,83.62,overcast clouds,5.77,73.38,Reason Inn
510,Bairiki,KI,87.8,broken clouds,1.33,172.98,Tarawa Boutique Hotel
511,Tongliao,CN,90.54,clear sky,43.61,122.27,Meirujia Hotel
512,Gra Liyia,GR,75.0,clear sky,35.02,25.68,Diktynna Traditional Villas
514,Marrakesh,MA,84.2,scattered clouds,31.63,-8.01,Les Jardins de La Koutoubia
517,Vao,NC,72.28,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
521,Nyurba,RU,78.42,few clouds,63.28,118.33,Gostinitsa Alrosa
525,Bambanglipuro,ID,82.42,overcast clouds,-7.95,110.28,Puri Brata
531,Sulphur Springs,US,91.4,clear sky,33.14,-95.6,Clarion Pointe Sulphur Springs
541,Visavadar,IN,81.84,overcast clouds,21.38,70.68,Brahmanad Dham Guest House
544,Clinton,US,80.01,broken clouds,42.59,-82.92,River's Edge
547,High Rock,BS,86.0,thunderstorm,26.62,-78.28,Ocean Pearl Bonefishing Resort
549,Cockburn Town,TC,82.04,clear sky,21.46,-71.14,Osprey Beach Hotel
551,Takoradi,GH,73.33,scattered clouds,4.88,-1.76,Raybow International Hotel
552,Poum,NC,73.6,few clouds,-20.23,164.02,Gîte kajeon
558,Sinayawan,PH,85.46,clear sky,6.71,125.31,Mig Milla's Hut
559,Marshall,US,80.01,clear sky,34.38,-86.33,Lake Guntersville Bed and Breakfast
562,Maragogi,BR,74.03,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
